test_score,0,1,2
0.8552684878615286,5,,
0.8461737214886551,10,,
0.8726354071899226,20,,
0.8926942328184948,30,,
0.9295241278822838,5,10.0,
0.891989193845129,5,20.0,
0.9293383690586269,5,30.0,
0.8871799356384366,10,5.0,
0.9317612835648494,10,20.0,
0.9381526527698336,10,30.0,
0.9150615546526361,20,5.0,
0.9361353723445875,20,10.0,
0.9472005850502228,20,30.0,
0.9321109029091734,30,5.0,
0.9359371812376874,30,10.0,
0.9477544634244046,30,20.0,
0.9547793421873182,5,10.0,20.0
0.9454450054197715,5,10.0,30.0
0.9385477778220153,5,20.0,10.0
0.9130472130350562,5,20.0,30.0
0.9439010107920015,5,30.0,10.0
0.9568135928699062,5,30.0,20.0
0.9223601954058448,10,5.0,20.0
0.9431571899939982,10,5.0,30.0
0.9504363695184214,10,20.0,5.0
0.9559404326379279,10,20.0,30.0
0.9484127161724205,10,30.0,5.0
0.9486706994777252,10,30.0,20.0
0.949848772760287,20,5.0,10.0
0.9582501906018284,20,5.0,30.0
0.9486349107422607,20,10.0,5.0
0.9549449444557447,20,10.0,30.0
0.9530472636251253,20,30.0,5.0
0.9441071313894561,20,30.0,10.0
0.9232079796456863,30,5.0,10.0
0.9587013038534985,30,5.0,20.0
0.9476510496352464,30,10.0,5.0
0.9576882762968245,30,10.0,20.0
0.9524842962647248,30,20.0,5.0
0.9530135793530081,30,20.0,10.0
